sampleid	Sample_ID	Source	Nanodrop_conc_(ng/ul)	A260/A280	A260/A230	Qubit_conc_(ng/ul)	Amount	Sample_Type	Sample_Type2	Building	Building-orig	for_ordering	PI	Insectary	Tray_Cage	Replicate	Collection_Date	group_for_novogene	sample_or_neg
S.142	L3ACPM1B6	L3/L4	134.7	2.155	2.183	25.2	2694	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate6	02/06/2023	AL2	sample
S.143	L3ACPM1B7	L3/L4	162.65	2.159	2.376	29.1	3253	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate7	02/06/2023	AL2	sample
S.144	L3ACPM1B8	L3/L4	8.4	2.049	0.757	26.7	168	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate8	02/06/2023	AL2	sample
S.145	L3ACPM1B9	L3/L4	89.6	2.128	1.956	20.2	1792	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate9	02/06/2023	AL2	sample
S.146	L3ACPM1B10	L3/L4	95.75	2.068	2.313	29.1	1915	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray2	Replicate10	02/06/2023	AL2	sample
S.147	L3ACPM1C1	L3/L4	59.15	2.09	1.496	17.8	1183	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate1	02/06/2023	AL3	sample
S.148	L3ACPM1C2	L3/L4	53.65	2.108	1.583	13.4	1073	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate2	02/06/2023	AL3	sample
S.149	L3ACPM1C3	L3/L4	146.55	2.149	1.849	29.7	2931	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate3	02/06/2023	AL3	sample
S.150	L3ACPM1C4	L3/L4	121.6	2.197	1.604	22.5	2432	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate4	02/06/2023	AL3	sample
S.151	L3ACPM1C5	L3/L4	55.4	2.143	0.911	9.65	1108	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate5	02/06/2023	AL3	sample
S.152	L3ACPM1C6	L3/L4	62.95	2.178	1.064	13.3	1259	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate6	02/06/2023	AL3	sample
S.153	L3ACPM1C7	L3/L4	148.7	2.144	1.963	26.9	2974	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate7	02/06/2023	AL3	sample
S.154	L3ACPM1C8	L3/L4	56.35	1.907	0.953	13	1127	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate8	02/06/2023	AL3	sample
S.155	L3ACPM1C9	L3/L4	140.55	2.064	1.369	21.1	2811	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate9	02/06/2023	AL3	sample
S.156	L3ACPM1C10	L3/L4	107.8	2.097	1.5	21.7	2156	Larva	Larva	C-ACC	Accelerator	AL	PhilipMcCall	Vector1	Tray3	Replicate10	02/06/2023	AL3	sample
S.157	AFCTGHA1	Adults	87.6	1.989	1.88	49.8	1752	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate1	12/06/2023	CA1	sample
S.158	AFCTGHA2	Adults	155.1	1.976	1.983	46.9	3102	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate2	12/06/2023	CA1	sample
S.159	AFCTGHA3	Adults	104.05	1.929	1.515	53	2081	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate3	12/06/2023	CA1	sample
S.160	AFCTGHA4	Adults	98.35	1.93	1.847	49.6	1967	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate4	12/06/2023	CA1	sample
S.161	AFCTGHA5	Adults	142.5	1.956	1.963	49.6	2850	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate5	12/06/2023	CA1	sample
S.162	AFCTGHA6	Adults	119.35	1.997	1.705	51	2387	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate6	12/06/2023	CA1	sample
S.163	AFCTGHA7	Adults	137.05	1.966	2.007	47	2741	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate7	12/06/2023	CA1	sample
S.164	AFCTGHA8	Adults	186.1	2.032	1.956	43.2	3722	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate8	12/06/2023	CA1	sample
S.165	AFCTGHA9	Adults	135.7	2.003	1.878	51	2714	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate9	12/06/2023	CA1	sample
S.166	AFCTGHA10	Adults	124	1.96	1.906	53	2480	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage1	Replicate10	12/06/2023	CA1	sample
S.167	AFCTGHB1	Adults	93.05	1.961	1.728	53	1861	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate1	12/06/2023	CA2	sample
S.168	AFCTGHB2	Adults	93.8	2.002	1.674	49.8	1876	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate2	12/06/2023	CA2	sample
S.169	AFCTGHB3	Adults	87.45	1.954	1.777	53	1749	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate3	12/06/2023	CA2	sample
S.170	AFCTGHB4	Adults	111.3	1.989	1.775	50	2226	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate4	12/06/2023	CA2	sample
S.171	AFCTGHB5	Adults	77.7	2.021	1.693	47.1	1554	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate5	12/06/2023	CA2	sample
S.172	AFCTGHB6	Adults	71.2	1.981	1.641	40	1424	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate6	12/06/2023	CA2	sample
S.173	AFCTGHB7	Adults	102.45	1.946	1.75	55	2049	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate7	12/06/2023	CA2	sample
S.174	AFCTGHB8	Adults	80.4	1.959	1.718	47.8	1608	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate8	12/06/2023	CA2	sample
S.175	AFCTGHB9	Adults	58.35	1.952	1.34	46.7	1167	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate9	12/06/2023	CA2	sample
S.176	AFCTGHB10	Adults	91.25	1.941	1.609	54	1825	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage2	Replicate10	12/06/2023	CA2	sample
S.177	AFCTGHC1	Adults	57.15	1.978	1.579	37.3	1143	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate1	12/06/2023	CA3	sample
S.178	AFCTGHC2	Adults	78.45	1.984	1.51	51	1569	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate2	12/06/2023	CA3	sample
S.179	AFCTGHC3	Adults	112.2	2.009	1.916	48.3	2244	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate3	12/06/2023	CA3	sample
S.180	AFCTGHC4	Adults	77.4	2.021	1.261	44	1548	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate4	12/06/2023	CA3	sample
S.181	AFCTGHC5	Adults	95.95	1.978	1.707	52	1919	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate5	12/06/2023	CA3	sample
S.182	AFCTGHC6	Adults	95.85	1.958	1.706	54	1917	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate6	12/06/2023	CA3	sample
S.183	AFCTGHC7	Adults	94.45	1.993	1.77	51	1889	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate7	12/06/2023	CA3	sample
S.184	AFCTGHC8	Adults	158.1	1.943	1.943	43	3162	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate8	12/06/2023	CA3	sample
S.185	AFCTGHC9	Adults	125.65	1.926	1.74	56	2513	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate9	12/06/2023	CA3	sample
S.186	AFCTGHC10	Adults	102.75	1.97	1.711	52	2055	AdultFemale	AdultFemale	A-CTID	CTID	CA	GrantHughes	NA	Cage3	Replicate10	12/06/2023	CA3	sample
S.187	AFMKGHA1	Adults	179.75	2.01	1.934	43.4	3595	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate1	12/06/2023	MA1	sample
S.188	AFMKGHA2	Adults	84	1.922	1.62	42.3	1680	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate2	12/06/2023	MA1	sample
S.189	AFMKGHA3	Adults	121.95	1.972	1.859	48.3	2439	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate3	12/06/2023	MA1	sample
S.190	AFMKGHA4	Adults	155.7	2.008	1.873	45.1	3114	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate4	12/06/2023	MA1	sample
S.191	AFMKGHA5	Adults	129.05	1.926	1.909	50	2581	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate5	12/06/2023	MA1	sample
S.192	AFMKGHA6	Adults	79.85	1.924	1.62	40.9	1597	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate6	12/06/2023	MA1	sample
S.193	AFMKGHA7	Adults	85.4	1.911	1.487	52	1708	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate7	12/06/2023	MA1	sample
S.194	AFMKGHA8	Adults	84.8	1.965	1.409	47.4	1696	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate8	12/06/2023	MA1	sample
S.195	AFMKGHA9	Adults	129.85	1.96	1.65	43.9	2597	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate9	12/06/2023	MA1	sample
S.196	AFMKGHA10	Adults	97.7	1.94	1.806	44.1	1954	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage1	Replicate10	12/06/2023	MA1	sample
S.197	AFMKGHB1	Adults	91.8	1.914	1.672	46.6	1836	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate1	12/06/2023	MA2	sample
S.198	AFMKGHB2	Adults	78.45	1.939	0.983	38.5	1569	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate2	12/06/2023	MA2	sample
S.199	AFMKGHB3	Adults	152.7	1.806	0.787	45.4	3054	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate3	12/06/2023	MA2	sample
S.200	AFMKGHB4	Adults	100.1	1.929	1.462	54	2002	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate4	12/06/2023	MA2	sample
S.201	AFMKGHB5	Adults	91.9	1.915	1.759	41.6	1838	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate5	12/06/2023	MA2	sample
S.202	AFMKGHB6	Adults	71.3	1.896	1.639	42.9	1426	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate6	12/06/2023	MA2	sample
S.203	AFMKGHB7	Adults	73.8	1.947	1.613	42.3	1476	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate7	12/06/2023	MA2	sample
S.204	AFMKGHB8	Adults	83.35	1.899	1.762	47.9	1667	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate8	12/06/2023	MA2	sample
S.205	AFMKGHB9	Adults	113.2	1.937	1.774	48.1	2264	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate9	12/06/2023	MA2	sample
S.206	AFMKGHB10	Adults	68.15	1.978	1.343	27.8	1363	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage2	Replicate10	12/06/2023	MA2	sample
S.207	AFMKGHC1	Adults	78.2	1.91	1.266	52	1564	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate1	12/06/2023	MA3	sample
S.208	AFMKGHC2	Adults	81.5	1.988	1.146	48.4	1630	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate2	12/06/2023	MA3	sample
S.209	AFMKGHC3	Adults	104.75	1.978	1.132	42.1	2095	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate3	12/06/2023	MA3	sample
S.210	AFMKGHC4	Adults	94.05	1.997	1.323	47.4	1881	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate4	12/06/2023	MA3	sample
S.211	AFMKGHC5	Adults	100.55	1.952	1.676	45.9	2011	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate5	12/06/2023	MA3	sample
S.212	AFMKGHC6	Adults	90	2.013	1.22	29.6	1800	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate6	12/06/2023	MA3	sample
S.213	AFMKGHC7	Adults	107.9	1.956	1.282	43.5	2158	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate7	12/06/2023	MA3	sample
S.214	AFMKGHC8	Adults	125.05	2.012	1.918	38.4	2501	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate8	12/06/2023	MA3	sample
S.215	AFMKGHC9	Adults	140.85	1.995	1.857	44.6	2817	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate9	12/06/2023	MA3	sample
S.216	AFMKGHC10	Adults	100.15	2.013	1.805	39.2	2003	AdultFemale	AdultFemale	B-MK	MaryKingsley	MA	GrantHughes	NA	Cage3	Replicate10	12/06/2023	MA3	sample
S.217	AFACPM1A1	Adults	116.2	2.021	1.788	43	2324	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate1	12/06/2023	AA1	sample
S.218	AFACPM1A2	Adults	117	1.983	1.808	50	2340	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate2	12/06/2023	AA1	sample
S.219	AFACPM1A3	Adults	81.85	1.933	1.632	47.4	1637	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate3	12/06/2023	AA1	sample
S.220	AFACPM1A4	Adults	77.7	1.962	1.059	43.1	1554	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate4	12/06/2023	AA1	sample
S.221	AFACPM1A5	Adults	151.75	1.991	1.787	43.9	3035	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate5	12/06/2023	AA1	sample
S.222	AFACPM1A6	Adults	99	1.943	1.749	49.1	1980	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate6	12/06/2023	AA1	sample
S.223	AFACPM1A7	Adults	149.3	1.976	1.919	42.4	2986	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate7	12/06/2023	AA1	sample
S.224	AFACPM1A8	Adults	148.1	1.977	1.866	43.4	2962	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate8	12/06/2023	AA1	sample
S.225	AFACPM1A9	Adults	155	1.968	1.845	42.4	3100	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate9	12/06/2023	AA1	sample
S.226	AFACPM1A10	Adults	126.6	1.957	1.847	42.5	2532	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage1	Replicate10	12/06/2023	AA1	sample
S.227	AFACPM1B1	Adults	119.05	1.983	1.83	42	2381	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate1	12/06/2023	AA2	sample
S.228	AFACPM1B2	Adults	145.95	1.958	1.897	43.9	2919	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate2	12/06/2023	AA2	sample
S.229	AFACPM1B3	Adults	103.2	1.949	1.693	45.4	2064	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate3	12/06/2023	AA2	sample
S.230	AFACPM1B4	Adults	137.05	1.993	1.853	40.7	2741	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate4	12/06/2023	AA2	sample
S.231	AFACPM1B5	Adults	115.4	1.944	1.966	45.9	2308	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate5	12/06/2023	AA2	sample
S.232	AFACPM1B6	Adults	131.65	1.958	1.879	38	2633	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate6	12/06/2023	AA2	sample
S.233	AFACPM1B7	Adults	95.55	1.909	1.823	48.3	1911	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate7	12/06/2023	AA2	sample
S.234	AFACPM1B8	Adults	119.55	1.968	1.836	47	2391	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate8	12/06/2023	AA2	sample
S.235	AFACPM1B9	Adults	112	1.967	1.71	45.8	2240	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate9	12/06/2023	AA2	sample
S.236	AFACPM1B10	Adults	103.85	1.974	1.705	47.1	2077	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage2	Replicate10	12/06/2023	AA2	sample
S.237	AFACPM1C1	Adults	138.25	2.05	2.009	40.4	2765	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate1	12/06/2023	AA3	sample
S.238	AFACPM1C2	Adults	79	2.063	1.154	40.1	1580	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate2	12/06/2023	AA3	sample
S.239	AFACPM1C3	Adults	80.85	2.011	1.095	36.7	1617	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate3	12/06/2023	AA3	sample
S.240	AFACPM1C4	Adults	90.8	2.036	1.338	39.4	1816	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate4	12/06/2023	AA3	sample
S.241	AFACPM1C5	Adults	119.55	2.092	1.3	42.1	2391	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate5	12/06/2023	AA3	sample
S.242	AFACPM1C6	Adults	80.65	2.108	1.124	38.6	1613	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate6	12/06/2023	AA3	sample
S.243	AFACPM1C7	Adults	98.55	2.036	1.692	48.3	1971	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate7	12/06/2023	AA3	sample
S.244	AFACPM1C8	Adults	156.4	2.035	1.722	42.1	3128	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate8	12/06/2023	AA3	sample
S.245	AFACPM1C9	Adults	110.85	2.019	1.437	41.3	2217	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate9	12/06/2023	AA3	sample
S.246	AFACPM1C10	Adults	130.1	1.991	1.494	42.8	2602	AdultFemale	AdultFemale	C-ACC	Accelerator	AA	PhilipMcCall	Vector1	Cage3	Replicate10	12/06/2023	AA3	sample
S.247	07/07/2023	Extraction_Blank	4.1	2.828	0.299	too_low	82	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	07/07/2023	blank	neg
S.248	13/07/2023	Extraction_Blank	3.05	2.179	0.219	too_low	61	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	13/07/2023	blank	neg
S.249	18/07/2023	Extraction_Blank	2.85	-4.071	0.169	too_low	57	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	18/07/2023	blank	neg
S.250	26/07/2023	Extraction_Blank	0.6	-4	0.042	too_low	12	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	26/07/2023	blank	neg
S.251	28/07/2023	Extraction_Blank	0.95	-19	0.056	too_low	19	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	28/07/2023	blank	neg
S.252	01/08/2023	Extraction_Blank	3.25	1.97	0.175	too_low	65	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	01/08/2023	blank	neg
S.253	02/08/2023	Extraction_Blank	4.5	-12.86	0.086	too_low	90	ExtractionBlank	ExtractionBlank	NA	NA	blank	NA	NA	NA	NA	02/08/2023	blank	neg
S.254	C72U-7	Adult_An._arabiensis	107.4	2.157	2.12	NA	2148	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.255	D24B+3	Adult_An._arabiensis	115	2.172	2.246	NA	2300	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.256	C72U-9	Adult_An._arabiensis	134.2	2.189	2.213	NA	2684	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.257	B1U-6	Adult_An._arabiensis	103.3	2.177	2.222	NA	2066	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.258	B9U-1	Adult_An._arabiensis	103.9	2.174	2.149	NA	2078	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.259	D48B+1	Adult_An._arabiensis	129.65	2.184	2.22	NA	2593	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.260	C48U-2	Adult_An._arabiensis	88.25	2.215	2.094	NA	1765	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.261	C72U-6	Adult_An._arabiensis	95.5	2.185	2.151	NA	1910	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.262	D48B+3	Adult_An._arabiensis	99.7	2.191	2.058	NA	1994	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
S.263	B3U+1	Adult_An._arabiensis	95.15	2.21	2.048	NA	1903	NA	NA	NA	NA	arabien	NA	NA	NA	NA	NA	arabien	NA
